LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
59m         Normal    Scheduled               pod/static-writer                         Successfully assigned dso202-practical-02/static-writer to worker-node-1
59m         Normal    Pulling                 pod/static-writer                         Pulling image "busybox:1.37"
59m         Normal    Pulled                  pod/static-writer                         Successfully pulled image "busybox:1.37" in 14.661s (14.662s including waiting). Image size: 2222111 bytes.
59m         Normal    Created                 pod/static-writer                         Container created
59m         Normal    Started                 pod/static-writer                         Container started
57m         Normal    Killing                 pod/static-writer                         Stopping container writer
57m         Normal    Scheduled               pod/static-writer                         Successfully assigned dso202-practical-02/static-writer to worker-node-1
57m         Normal    Started                 pod/static-writer                         Container started
57m         Normal    Created                 pod/static-writer                         Container created
57m         Normal    Pulled                  pod/static-writer                         Container image "busybox:1.37" already present on machine and can be accessed by the pod
56m         Normal    Killing                 pod/static-writer                         Stopping container writer
52m         Normal    Scheduled               pod/static-writer                         Successfully assigned dso202-practical-02/static-writer to worker-node-1
52m         Normal    Pulled                  pod/static-writer                         Container image "busybox:1.37" already present on machine and can be accessed by the pod
52m         Normal    Started                 pod/static-writer                         Container started
52m         Normal    Created                 pod/static-writer                         Container created
49m         Normal    ExternalProvisioning    persistentvolumeclaim/dynamic-data        Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
49m         Normal    WaitForFirstConsumer    persistentvolumeclaim/dynamic-data        waiting for first consumer to be created before binding
49m         Normal    Provisioning            persistentvolumeclaim/dynamic-data        External provisioner is provisioning volume for claim "dso202-practical-02/dynamic-data"
49m         Normal    ProvisioningSucceeded   persistentvolumeclaim/dynamic-data        Successfully provisioned volume pvc-ac4b0bb7-3474-4413-9328-bfc66da8ddbb
49m         Normal    Scheduled               pod/dynamic-writer                        Successfully assigned dso202-practical-02/dynamic-writer to worker-node-2
49m         Normal    Pulling                 pod/dynamic-writer                        Pulling image "busybox:1.37"
49m         Normal    Created                 pod/dynamic-writer                        Container created
49m         Normal    Pulled                  pod/dynamic-writer                        Successfully pulled image "busybox:1.37" in 19.119s (19.119s including waiting). Image size: 2222111 bytes.
49m         Normal    Started                 pod/dynamic-writer                        Container started
46m         Normal    Killing                 pod/dynamic-writer                        Stopping container writer
45m         Normal    SuccessfulCreate        replicaset/shared-writer-6f4b987c7b       Created pod: shared-writer-6f4b987c7b-47pjc
45m         Warning   FailedScheduling        pod/shared-writer-6f4b987c7b-47pjc        running PreBind plugin "VolumeBinding": Operation cannot be fulfilled on persistentvolumeclaims "shared-data": the object has been modified; please apply your changes to the latest version and try again
45m         Normal    ScalingReplicaSet       deployment/shared-writer                  Scaled up replica set shared-writer-6f4b987c7b from 0 to 3
45m         Warning   FailedScheduling        pod/shared-writer-6f4b987c7b-vlhg4        running PreBind plugin "VolumeBinding": Operation cannot be fulfilled on persistentvolumeclaims "shared-data": the object has been modified; please apply your changes to the latest version and try again
45m         Normal    Provisioning            persistentvolumeclaim/shared-data         External provisioner is provisioning volume for claim "dso202-practical-02/shared-data"
45m         Normal    ExternalProvisioning    persistentvolumeclaim/shared-data         Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
45m         Normal    WaitForFirstConsumer    persistentvolumeclaim/shared-data         waiting for first consumer to be created before binding
45m         Normal    SuccessfulCreate        replicaset/shared-writer-6f4b987c7b       Created pod: shared-writer-6f4b987c7b-5t447
45m         Normal    SuccessfulCreate        replicaset/shared-writer-6f4b987c7b       Created pod: shared-writer-6f4b987c7b-vlhg4
45m         Normal    ProvisioningSucceeded   persistentvolumeclaim/shared-data         Successfully provisioned volume pvc-8f3de5b4-f89b-4b95-a102-bc67a229ad51
45m         Normal    Scheduled               pod/shared-writer-6f4b987c7b-47pjc        Successfully assigned dso202-practical-02/shared-writer-6f4b987c7b-47pjc to worker-node-2
45m         Normal    Scheduled               pod/shared-writer-6f4b987c7b-vlhg4        Successfully assigned dso202-practical-02/shared-writer-6f4b987c7b-vlhg4 to worker-node-2
45m         Normal    Scheduled               pod/shared-writer-6f4b987c7b-5t447        Successfully assigned dso202-practical-02/shared-writer-6f4b987c7b-5t447 to worker-node-2
45m         Normal    Pulled                  pod/shared-writer-6f4b987c7b-5t447        Container image "busybox:1.37" already present on machine and can be accessed by the pod
45m         Normal    Created                 pod/shared-writer-6f4b987c7b-5t447        Container created
45m         Normal    Created                 pod/shared-writer-6f4b987c7b-vlhg4        Container created
45m         Normal    Started                 pod/shared-writer-6f4b987c7b-47pjc        Container started
45m         Normal    Created                 pod/shared-writer-6f4b987c7b-47pjc        Container created
45m         Normal    Pulled                  pod/shared-writer-6f4b987c7b-47pjc        Container image "busybox:1.37" already present on machine and can be accessed by the pod
45m         Normal    Started                 pod/shared-writer-6f4b987c7b-vlhg4        Container started
45m         Normal    Pulled                  pod/shared-writer-6f4b987c7b-vlhg4        Container image "busybox:1.37" already present on machine and can be accessed by the pod
45m         Normal    Started                 pod/shared-writer-6f4b987c7b-5t447        Container started
44m         Normal    Killing                 pod/shared-writer-6f4b987c7b-vlhg4        Stopping container writer
44m         Normal    Scheduled               pod/shared-writer-6f4b987c7b-t87cg        Successfully assigned dso202-practical-02/shared-writer-6f4b987c7b-t87cg to worker-node-2
44m         Normal    SuccessfulCreate        replicaset/shared-writer-6f4b987c7b       Created pod: shared-writer-6f4b987c7b-zczjd
44m         Normal    SuccessfulCreate        replicaset/shared-writer-6f4b987c7b       Created pod: shared-writer-6f4b987c7b-t87cg
44m         Normal    Scheduled               pod/shared-writer-6f4b987c7b-qprvn        Successfully assigned dso202-practical-02/shared-writer-6f4b987c7b-qprvn to worker-node-2
